 1 ,        1 ,   0.00 ,   0.65
 1 ,       10 ,  70.00 ,   5.62
 1 ,      100 ,  94.00 ,  35.51
 1 ,     1000 ,  85.50 ,  25.04
 1 ,    10000 ,  84.64 ,  29.61
 1 ,   100000 ,  84.91 ,  39.49
 1 ,   500000 ,  84.83 ,  77.11
 1 ,  1000000 ,  84.75 ,  83.58
 2 ,        1 , 100.00 ,   0.23
 2 ,       10 ,  60.00 ,   2.38
 2 ,      100 ,  82.00 ,  21.68
 2 ,     1000 ,  84.40 ,  43.94
 2 ,    10000 ,  85.31 ,  50.75
 2 ,   100000 ,  84.71 ,  64.14
 2 ,   500000 ,  84.77 , 103.35
 2 ,  1000000 ,  84.77 , 141.64
 4 ,        1 ,   0.00 ,   0.31
 4 ,       10 ,  80.00 ,   2.49
 4 ,      100 ,  80.00 ,  22.07
 4 ,     1000 ,  84.20 ,  77.72
 4 ,    10000 ,  84.39 ,  97.91
 4 ,   100000 ,  84.82 , 107.57
 4 ,   500000 ,  84.90 , 158.42
 4 ,  1000000 ,  84.86 , 206.59
 6 ,        1 , 100.00 ,   0.25
 6 ,       10 , 100.00 ,   2.07
 6 ,      100 ,  79.00 ,  18.59
 6 ,     1000 ,  85.40 ,  89.21
 6 ,    10000 ,  84.99 , 144.02
 6 ,   100000 ,  84.81 , 161.49
 6 ,   500000 ,  84.82 , 212.39
 6 ,  1000000 ,  84.80 , 265.43
 8 ,        1 , 100.00 ,   0.19
 8 ,       10 , 100.00 ,   1.78
 8 ,      100 ,  82.00 ,  17.28
 8 ,     1000 ,  83.70 ,  96.65
 8 ,    10000 ,  85.07 , 187.41
 8 ,   100000 ,  84.76 , 195.72
 8 ,   500000 ,  84.83 , 254.79
 8 ,  1000000 ,  84.84 , 320.53
